TIME,ALT,V1G,V2G,V12,CALV,IMON,TEMP
0:02:06,0.00,-6EB39F,-9CBCA4,DFAA08,A40E96,7AC23F,1F8FC,
0:02:07,0.00,-B1DCCD,-9CBE06,DFA9F4,A40C09,520C30,-2C8D,
0:02:08,0.00,-6BEFB0,-9CBD4F,DFAA08,A414D4,79B516,1E879,
0:02:09,0.00,-8E1AF9,-9CBEC0,DFAA10,A40B2F,4FE116,-2965,
0:02:10,0.00,-6A6A5B,-9CBE36,DFA9FC,A41381,5EEB30,5208,
0:02:11,0.00,-A0F3AC,-9CBE2A,DFAA06,A41875,794DF1,25FBC,
0:02:13,0.00,-91E71F,-9CBE2C,DFAA04,A41141,51DF51,-2AB8,
0:02:14,0.00,-96C963,-9CBE09,DFAA06,A419B9,6437FA,1E6C,
0:02:15,0.00,-8685FD,-9CBE5D,DFA9F6,A41325,4F4E76,-28AB,
0:02:16,0.00,-6BE44C,-9CBDD5,DFAA0E,A4182B,54F39A,-2348,
0:02:17,0.00,-6B8908,-9CBE3A,DFA9FF,A41F1F,7B4415,21D58,
0:02:19,0.00,-C3C253,-9CBDE4,DFA9F9,A418AE,51B06F,-20AB,
0:02:20,0.00,-7FD4DD,-9CBE6C,DFA9FA,A41E5E,58134C,-20E6,
0:02:21,0.00,-6E493A,-9CBE12,DFA9E2,A40F63,527520,-246C,
0:02:22,0.00,-80A00D,-9CBE6B,DFAA08,A41088,56D5F5,-2731,
0:02:23,0.00,-8E8902,-9CBDCF,DFA9FE,A41EE1,573962,-2C00,
0:02:25,0.00,-69D26F,-9CBDC3,DFAA05,A419F2,730F9D,12B59,
0:02:26,0.00,-867DC5,-9CBE1B,DFAA02,A412BC,-7E5D9,31E4F4,
0:02:27,0.00,-59B4E5,-9CBCBB,DFA9F5,A41755,62C0F5,17EB9,
0:02:28,0.00,-78FCA7,-9CBD51,DFAA14,A415C6,5993D1,-28B5,
0:02:29,0.00,-9DAB0D,-9CBD6F,-52C40A,A41B30,50AB2A,-321D,
0:02:30,0.00,-C83B33,-9CBD68,-56B50A,A41B3D,4F86FD,-25C9,
0:02:32,0.00,-8E75A9,-9CBD7D,-B0E687,A41A57,72C667,19C5A,
0:02:33,0.00,-962DFD,-9CBE79,-2DB,A41F88,54FCDF,-2A9F,
0:02:34,0.00,-6418BB,-9CBDF7,7DDFCC,A41B47,5ACA3A,-2EA4,
0:02:35,0.00,-94964F,-9CBE7E,2A5B77,A41C05,503E7E,-1E30,
0:02:36,0.00,-9A85F3,-9CBDFF,-535C99,A424DC,5F28F7,-2C2C,
0:02:37,0.00,-6F2D3D,-9CBF4C,7655B8,A42221,6606CC,6339,
0:02:39,0.00,-7430E9,-9CBE89,-17FDE,A41AD6,7306BA,1DB16,
0:02:40,0.00,-D64569,-9CBFC4,-BE207B,A41ED5,55C4B4,-26D9,
0:02:41,0.00,-82D5A6,-9CBE22,-F66B3,A42799,516345,-2C84,
0:02:42,0.00,11000000,-9CBF02,4DC880,A42CE9,554B92,-2BB5,
0:02:43,0.00,-78031C,-9CBFC1,-60674,A420AF,7A3CB6,24438,
0:02:44,0.00,-E45C99,-9CBF7C,7711F1,A43661,53EC03,-1970,
0:02:46,0.00,-DA0180,-9CBEF2,-94C176,A41B51,7C02EE,2ADC0,
0:02:47,0.00,-9E5B48,-9CBF91,-904BAE,A4312A,7B3704,2617C,
0:02:48,0.00,-8C2D39,-9CBF68,-664FE5,A432F1,5401DB,-2DD3,
0:02:49,0.00,-A143A0,-9CC019,-3B5C17,A431E6,59AF96,-20FE,
0:02:50,0.00,-990630,-9CBF5E,-2612F7,A4331F,50ECC0,-2804,
0:02:51,0.00,-A2C2DE,-9CC02E,-2F319D,A43C64,58B75B,2173,
0:02:53,0.00,-6ED27B,-9CBFC7,-D4D732,A431D5,78A2DD,1B1EA,
0:02:54,0.00,-A884E3,-9CC02E,73F7BB,A43D07,53DB98,-2B42,
0:02:55,0.00,-7CF457,-9CBFB3,4C5471,A43BA3,55705E,-31A8,
0:02:56,0.00,-9F4A06,-9CC021,-1DD868,A4353D,7239F8,250E8,
0:02:57,0.00,-E831C5,-9CC085,-C29FA4,A43C82,509A16,-3206,
0:02:58,0.00,-7B4C74,-9CC0E0,-5EF42C,A437AB,7950AD,21C29,
0:03:00,0.00,-74BDF4,-9CC04B,12B845,A43FB0,7974AC,26B4B,
0:03:01,0.00,-B8D7D2,-9CC127,-3BDBB8,A44245,-134442,62052,
0:03:02,0.00,-6966FE,-9CC122,220C4B,A440B6,1F6C2C,38D9,
0:03:03,0.00,-A25985,-9CC1F9,7B0FA5,A442A7,4ED1B1,-29B1,
0:03:04,0.00,-9C5C3A,-9CC0D7,-893123,A441D2,984CA7,22DE0,
0:03:05,0.00,-C2AA15,-9CC0FE,-8AD2DC,A43A57,54FD02,-1592,
0:03:07,0.00,-6FF15A,-9CC111,-41E590,A44784,751A58,27568,
0:03:08,0.00,-A56391,-9CC1CD,D5F528,A44799,7B0B50,27287,
0:03:09,0.00,-A4789F,-9CC0FC,A74EAC,A4495D,567730,-25A9,
0:03:10,0.00,-A1F753,-9CC184,-A87AC4,A443D4,5975A4,-479E,
0:03:11,0.00,-862472,-9CBFF9,BDCB8E,A43E34,4F6511,-3084,
0:03:12,0.00,-A88622,-9CC162,-42F316,A44688,61E9E9,EDF,
0:03:14,0.00,-702CBC,-9CC124,-94E577,A4568E,7B8E99,2C7CC,
0:03:15,0.00,-6B8B05,-9CC06A,-4646C7,A45FAF,522202,-3152,
0:03:16,0.00,-7E057C,-9CC0CD,-B572D5,A48C1C,5AD8B5,-26C0,
0:03:17,0.00,-C24CC0,-9CBFEA,-DE9CE,A48736,50A5AA,-3008,
0:03:18,0.00,-AD1727,-9CBFF9,7A144D,A488AB,53F068,-289F,
0:03:19,0.00,-77DDD2,-9CBFCD,-14C2D5,A48702,7039EF,E07A,
0:03:21,0.00,-AF953F,-9CC0BA,980296,A4929D,5512A9,-1F3D,
0:03:22,0.00,-735BDF,-9CC0C8,2AE1D0,A49748,7B5808,93F71C,
0:03:23,0.00,-6C6799,-9CC0AC,3E5A04,A496FB,5727BB,B2995,
0:03:24,0.00,-6F62D0,-9CC040,7D5A84,A494B7,5A0CD1,-2422,
0:03:25,0.00,-9C3871,-9CBFFF,BCB5A7,A49480,771E54,2CF70,
0:03:26,0.00,-C53EAC,-9CC003,59994D,A49F0B,526F63,-284F,
0:03:28,0.00,-AC0087,-9CC014,-B6E2CC,A49CC2,6D199A,1B3E5,
0:03:29,0.00,-6AA025,-9CC060,-A59A3,A496AE,688698,2F4B,
0:03:30,0.00,-A0FF3C,-9CBF5E,-B5A515,A49A09,578C03,-2916,
0:03:31,0.00,-851E26,-9CBFC1,-204DF7,A492F0,742F6D,1B1C4,
0:03:32,0.00,-7099D3,-9CBFAE,-4E0D3A,A495C2,5787B9,-19A6,
0:03:33,0.00,-94A5BF,-9CC073,5B0E06,A5210D,6A260C,317098,
0:03:35,0.00,-95A8DC,-9CC06A,-2B6658,A4E25E,77EA51,1CE04,
0:03:36,0.00,-B54A58,-9CC03F,-482B37,A4E51D,56CB55,A23D,
0:03:37,0.00,-A07F96,-9CC017,-39EB13,ACF074,7C2B1C,29572,
0:03:38,0.00,-F05D97,-9CC048,-4B5787,ADE310,534ECA,-31FD,
0:03:39,0.00,-A1743D,-9CC01F,-4CD535,B09876,79C4E1,22280,
0:03:40,0.00,-DA636B,-9CBFF5,-AF49D4,B088A5,562565,-2621,
0:03:42,0.00,-D7CD89,-9CC04E,-40081D,AC02E9,6E192E,29E54,
0:03:43,0.00,-6B1EB7,-9CBFB7,-C976B,BC61B9,660D65,25F,
0:03:44,0.00,-D3786B,-9CC071,-5403D8,AF2463,58358B,-255A,
0:03:45,0.00,-90F612,-9CBFF1,-E5289,AEE17A,5D35AF,-1F9A,
0:03:46,0.00,-EBEB95,-9CC0DB,-C788AD,AF4DF4,53D64E,-24A5,
0:03:47,0.00,-7D77BD,-9CBFE6,C0E104,AFC617,793B7B,22516,
